Sat Aug 18 1990 00:00:00 GMT+0800 (CST)	0.5
Sun Aug 19 1990 00:00:00 GMT+0800 (CST)	376
Mon Aug 20 1990 00:00:00 GMT+0800 (CST)	108.5
Tue Aug 21 1990 00:00:00 GMT+0800 (CST)	50.5
Wed Aug 22 1990 00:00:00 GMT+0800 (CST)	18.5
Thu Aug 23 1990 00:00:00 GMT+0800 (CST)	0
Fri Aug 24 1990 00:00:00 GMT+0800 (CST)	6
Sat Aug 25 1990 00:00:00 GMT+0800 (CST)	0
Sun Aug 26 1990 00:00:00 GMT+0800 (CST)	0
Mon Aug 27 1990 00:00:00 GMT+0800 (CST)	0
Tue Aug 28 1990 00:00:00 GMT+0800 (CST)	0
Wed Aug 29 1990 00:00:00 GMT+0800 (CST)	0
Thu Aug 30 1990 00:00:00 GMT+0800 (CST)	19.5
Fri Aug 31 1990 00:00:00 GMT+0800 (CST)	0.5
Sat Sep 01 1990 00:00:00 GMT+0800 (CST)	0
Sun Sep 02 1990 00:00:00 GMT+0800 (CST)	45.5
Mon Sep 03 1990 00:00:00 GMT+0800 (CST)	7
Tue Sep 04 1990 00:00:00 GMT+0800 (CST)	0
Wed Sep 05 1990 00:00:00 GMT+0800 (CST)	0
Thu Sep 06 1990 00:00:00 GMT+0800 (CST)	0
Fri Sep 07 1990 00:00:00 GMT+0800 (CST)	6
Sat Sep 08 1990 00:00:00 GMT+0800 (CST)	28
Sun Sep 09 1990 00:00:00 GMT+0800 (CST)	13
Mon Sep 10 1990 00:00:00 GMT+0800 (CST)	0.5
Tue Sep 11 1990 00:00:00 GMT+0800 (CST)	0
Wed Sep 12 1990 00:00:00 GMT+0800 (CST)	8
Thu Sep 13 1990 00:00:00 GMT+0800 (CST)	0.5
Fri Sep 14 1990 00:00:00 GMT+0800 (CST)	0
Sat Sep 15 1990 00:00:00 GMT+0800 (CST)	2.5
Sun Sep 16 1990 00:00:00 GMT+0800 (CST)	0
Mon Sep 17 1990 00:00:00 GMT+0800 (CST)	0
Tue Sep 18 1990 00:00:00 GMT+0800 (CST)	0
Wed Sep 19 1990 00:00:00 GMT+0800 (CST)	0
Thu Sep 20 1990 00:00:00 GMT+0800 (CST)	0
Fri Sep 21 1990 00:00:00 GMT+0800 (CST)	0
Sat Sep 22 1990 00:00:00 GMT+0800 (CST)	0
Sun Sep 23 1990 00:00:00 GMT+0800 (CST)	0
Mon Sep 24 1990 00:00:00 GMT+0800 (CST)	0
Tue Sep 25 1990 00:00:00 GMT+0800 (CST)	0
Wed Sep 26 1990 00:00:00 GMT+0800 (CST)	0
Thu Sep 27 1990 00:00:00 GMT+0800 (CST)	0
Fri Sep 28 1990 00:00:00 GMT+0800 (CST)	0
Sat Sep 29 1990 00:00:00 GMT+0800 (CST)	0
Sun Sep 30 1990 00:00:00 GMT+0800 (CST)	0
Mon Oct 01 1990 00:00:00 GMT+0800 (CST)	0
Tue Oct 02 1990 00:00:00 GMT+0800 (CST)	0
Wed Oct 03 1990 00:00:00 GMT+0800 (CST)	0
Thu Oct 04 1990 00:00:00 GMT+0800 (CST)	0
Fri Oct 05 1990 00:00:00 GMT+0800 (CST)	0
Sat Oct 06 1990 00:00:00 GMT+0800 (CST)	0
Sun Oct 07 1990 00:00:00 GMT+0800 (CST)	0
Mon Oct 08 1990 00:00:00 GMT+0800 (CST)	0
Tue Oct 09 1990 00:00:00 GMT+0800 (CST)	0
Wed Oct 10 1990 00:00:00 GMT+0800 (CST)	0
Thu Oct 11 1990 00:00:00 GMT+0800 (CST)	0
Fri Oct 12 1990 00:00:00 GMT+0800 (CST)	0
Sat Oct 13 1990 00:00:00 GMT+0800 (CST)	0
Sun Oct 14 1990 00:00:00 GMT+0800 (CST)	0
Mon Oct 15 1990 00:00:00 GMT+0800 (CST)	0
Tue Oct 16 1990 00:00:00 GMT+0800 (CST)	0
Wed Oct 17 1990 00:00:00 GMT+0800 (CST)	0
Thu Oct 18 1990 00:00:00 GMT+0800 (CST)	0
Fri Oct 19 1990 00:00:00 GMT+0800 (CST)	0
Sat Oct 20 1990 00:00:00 GMT+0800 (CST)	0
Sun Oct 21 1990 00:00:00 GMT+0800 (CST)	0
Mon Oct 22 1990 00:00:00 GMT+0800 (CST)	0
Tue Oct 23 1990 00:00:00 GMT+0800 (CST)	0
Wed Oct 24 1990 00:00:00 GMT+0800 (CST)	0
Thu Oct 25 1990 00:00:00 GMT+0800 (CST)	0.5
Fri Oct 26 1990 00:00:00 GMT+0800 (CST)	0
Sat Oct 27 1990 00:00:00 GMT+0800 (CST)	0
Sun Oct 28 1990 00:00:00 GMT+0800 (CST)	0
Mon Oct 29 1990 00:00:00 GMT+0800 (CST)	0
Tue Oct 30 1990 00:00:00 GMT+0800 (CST)	0
Wed Oct 31 1990 00:00:00 GMT+0800 (CST)	0
Thu Nov 01 1990 00:00:00 GMT+0800 (CST)	0
Fri Nov 02 1990 00:00:00 GMT+0800 (CST)	0
Sat Nov 03 1990 00:00:00 GMT+0800 (CST)	0
Sun Nov 04 1990 00:00:00 GMT+0800 (CST)	0
Mon Nov 05 1990 00:00:00 GMT+0800 (CST)	0
Tue Nov 06 1990 00:00:00 GMT+0800 (CST)	0
Wed Nov 07 1990 00:00:00 GMT+0800 (CST)	0
Thu Nov 08 1990 00:00:00 GMT+0800 (CST)	0
